codigoProducto,Cantidad_Compra,Precio_Compra,fechaCompra,Metodo_Pago,Descuento_Aplicado,Total_Compra,Estado_Compra
1,2,300,2024-01-15,Tarjeta de Crédito,10,540,Completo
2,1,450,2024-01-16,Efectivo,Ninguno,450,Completo
3,3,750,2024-01-17,Transferencia,5,2137.5,Completo
4,4,100,2024-01-18,Paypal,15,340,Completo
5,1,250,2024-01-19,Tarjeta de Débito,Ninguno,250,Completo
6,2,140,2024-01-20,Transferencia,10,252,Completo
7,1,200,2024-01-21,Efectivo,Ninguno,200,Completo
8,5,650,2024-01-22,Paypal,5,617.5,Completo
9,1,400,2024-01-23,Tarjeta de Crédito,Ninguno,400,Completo
10,3,300,2024-01-24,Efectivo,20,720,Completo
11,1,500,2024-01-25,Transferencia,Ninguno,500,Completo
12,2,900,2024-01-26,Paypal,15,765,Completo
13,1,750,2024-01-27,Tarjeta de Crédito,Ninguno,750,Completo
14,4,400,2024-01-28,Efectivo,5,1520,Completo
15,2,100,2024-01-29,Transferencia,Ninguno,200,Completo
16,1,300,2024-01-30,Paypal,10,270,Completo
17,3,200,2024-01-31,Tarjeta de Débito,Ninguno,600,Completo
18,2,650,2024-02-01,Efectivo,5,1230,Completo
19,1,650,2024-02-02,Transferencia,Ninguno,650,Completo
20,2,150,2024-02-03,Paypal,20,240,Completo
21,1,400,2024-02-04,Tarjeta de Crédito,Ninguno,400,Completo
22,3,750,2024-02-05,Efectivo,10,675,Completo
23,2,200,2024-02-06,Transferencia,Ninguno,400,Completo
24,4,300,2024-02-07,Paypal,5,285,Completo
25,1,600,2024-02-08,Tarjeta de Débito,Ninguno,600,Completo
26,2,150,2024-02-09,Efectivo,15,255,Completo
27,3,300,2024-02-10,Transferencia,Ninguno,900,Completo
28,1,800,2024-02-11,Paypal,10,720,Completo
29,4,200,2024-02-12,Tarjeta de Crédito,Ninguno,800,Completo
30,2,250,2024-02-13,Efectivo,20,400,Completo
31,1,700,2024-02-14,Transferencia,Ninguno,700,Completo
32,3,400,2024-02-15,Paypal,10,1080,Completo
33,2,150,2024-02-16,Tarjeta de Débito,Ninguno,300,Completo
34,1,500,2024-02-17,Efectivo,5,475,Completo
35,4,350,2024-02-18,Transferencia,Ninguno,1400,Completo
36,2,200,2024-02-19,Paypal,15,340,Completo
37,1,450,2024-02-20,Tarjeta de Crédito,Ninguno,450,Completo
38,3,600,2024-02-21,Efectivo,10,1620,Completo
39,2,250,2024-02-22,Transferencia,Ninguno,500,Completo
40,1,300,2024-02-23,Paypal,20,240,Completo
41,2,400,2024-02-24,Tarjeta de Débito,Ninguno,800,Completo
42,1,500,2024-02-25,Efectivo,5,475,Completo
43,3,800,2024-02-26,Transferencia,Ninguno,2400,Completo
44,2,600,2024-02-27,Paypal,10,1080,Completo
45,1,400,2024-02-28,Tarjeta de Crédito,Ninguno,400,Completo
46,4,200,2024-03-01,Efectivo,15,170,Completo
47,2,300,2024-03-02,Transferencia,Ninguno,600,Completo
48,3,500,2024-03-03,Paypal,20,1200,Completo